xflr5 v6.42

 Calculated polar for: NACA 6508

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.090 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-16.800,-0.2675, 0.17153, 0.16646,-0.0393,1.0000,0.0407,-0.9835, 0.0000, 0.0953
-16.700,-0.2677, 0.17154, 0.16647,-0.0395,1.0000,0.0408,-0.9973, 0.0000, 0.0947
-16.600,-0.2681, 0.17164, 0.16658,-0.0397,1.0000,0.0410,-1.0118, 0.0000, 0.0942
-16.500,-0.2688, 0.17181, 0.16676,-0.0399,1.0000,0.0411,-1.0268, 0.0000, 0.0938
-16.400,-0.2696, 0.17203, 0.16698,-0.0401,1.0000,0.0412,-1.0420, 0.0000, 0.0936
-16.300,-0.2706, 0.17228, 0.16725,-0.0403,1.0000,0.0413,-1.0574, 0.0000, 0.0935
-16.200,-0.2718, 0.17256, 0.16753,-0.0404,1.0000,0.0413,-1.0728, 0.0000, 0.0936
-16.100,-0.2730, 0.17286, 0.16784,-0.0406,1.0000,0.0414,-1.0882, 0.0000, 0.0937
-16.000,-0.2744, 0.17317, 0.16816,-0.0407,1.0000,0.0414,-1.1036, 0.0000, 0.0939
-15.900,-0.2758, 0.17349, 0.16846,-0.0409,1.0000,0.0415,-1.1190, 0.0000, 0.0943
-15.800,-0.2774, 0.17382, 0.16879,-0.0410,1.0000,0.0415,-1.1344, 0.0000, 0.0947
-15.700,-0.2790, 0.17414, 0.16913,-0.0411,1.0000,0.0416,-1.1499, 0.0000, 0.0952
-15.600,-0.2808, 0.17448, 0.16947,-0.0413,1.0000,0.0416,-1.1655, 0.0000, 0.0957
-15.500,-0.2827, 0.17483, 0.16982,-0.0414,1.0000,0.0416,-1.1813, 0.0000, 0.0964
-15.000,-0.2568, 0.15891, 0.15397,-0.0383,1.0000,0.0440,-0.9958, 0.0000, 0.0932
-14.900,-0.2559, 0.15814, 0.15320,-0.0381,1.0000,0.0445,-0.9852, 0.0000, 0.0937
-14.800,-0.2553, 0.15745, 0.15252,-0.0379,1.0000,0.0450,-0.9771, 0.0000, 0.0942
-14.700,-0.2547, 0.15681, 0.15190,-0.0376,1.0000,0.0456,-0.9708, 0.0000, 0.0947
-14.600,-0.2543, 0.15621, 0.15130,-0.0375,1.0000,0.0461,-0.9660, 0.0000, 0.0952
-14.500,-0.2540, 0.15563, 0.15073,-0.0373,1.0000,0.0467,-0.9623, 0.0000, 0.0958
-14.400,-0.2538, 0.15506, 0.15017,-0.0371,1.0000,0.0472,-0.9597, 0.0000, 0.0964
-14.300,-0.2537, 0.15451, 0.14963,-0.0369,1.0000,0.0477,-0.9580, 0.0000, 0.0970
-14.200,-0.2536, 0.15397, 0.14910,-0.0368,1.0000,0.0483,-0.9570, 0.0000, 0.0976
-14.100,-0.2536, 0.15345, 0.14858,-0.0366,1.0000,0.0488,-0.9567, 0.0000, 0.0983
-14.000,-0.2537, 0.15293, 0.14807,-0.0365,1.0000,0.0493,-0.9571, 0.0000, 0.0989
-13.900,-0.2538, 0.15243, 0.14758,-0.0363,1.0000,0.0499,-0.9582, 0.0000, 0.0996
-13.800,-0.2541, 0.15195, 0.14710,-0.0362,1.0000,0.0504,-0.9600, 0.0000, 0.1003
-13.700,-0.2544, 0.15149, 0.14665,-0.0361,1.0000,0.0509,-0.9627, 0.0000, 0.1010
-13.600,-0.2548, 0.15107, 0.14624,-0.0360,1.0000,0.0513,-0.9663, 0.0000, 0.1018
-13.500,-0.2554, 0.15070, 0.14588,-0.0359,1.0000,0.0518,-0.9714, 0.0000, 0.1025
-13.400,-0.2562, 0.15041, 0.14559,-0.0358,1.0000,0.0523,-0.9792, 0.0000, 0.1032
-13.300,-0.2573, 0.15023, 0.14541,-0.0358,1.0000,0.0527,-0.9941, 0.0000, 0.1039
-13.200,-0.2587, 0.15016, 0.14536,-0.0358,1.0000,0.0531,-1.0115, 0.0000, 0.1047
-13.100,-0.2605, 0.15021, 0.14541,-0.0358,1.0000,0.0534,-1.0309, 0.0000, 0.1055
-13.000,-0.2626, 0.15030, 0.14551,-0.0359,1.0000,0.0536,-1.0516, 0.0000, 0.1065
-12.900,-0.2649, 0.15041, 0.14564,-0.0359,1.0000,0.0538,-1.0728, 0.0000, 0.1076
-12.800,-0.2674, 0.15055, 0.14579,-0.0360,1.0000,0.0539,-1.0945, 0.0000, 0.1089
-12.700,-0.2701, 0.15070, 0.14594,-0.0360,1.0000,0.0541,-1.1161, 0.0000, 0.1103
-12.600,-0.2729, 0.15083, 0.14609,-0.0360,1.0000,0.0542,-1.1376, 0.0000, 0.1119
-12.500,-0.2759, 0.15094, 0.14622,-0.0359,1.0000,0.0542,-1.1590, 0.0000, 0.1135
-12.400,-0.2789, 0.15103, 0.14632,-0.0359,1.0000,0.0543,-1.1801, 0.0000, 0.1152
-12.300,-0.2820, 0.15108, 0.14640,-0.0358,1.0000,0.0544,-1.2010, 0.0000, 0.1170
-12.200,-0.2851, 0.15110, 0.14644,-0.0358,1.0000,0.0544,-1.2217, 0.0000, 0.1188
-12.100,-0.2882, 0.15109, 0.14644,-0.0357,1.0000,0.0545,-1.2422, 0.0000, 0.1206
-12.000,-0.2914, 0.15103, 0.14640,-0.0356,1.0000,0.0545,-1.2628, 0.0000, 0.1224
-11.900,-0.2944, 0.15087, 0.14626,-0.0355,1.0000,0.0546,-1.2830, 0.0000, 0.1240
-11.800,-0.2970, 0.15061, 0.14602,-0.0354,1.0000,0.0546,-1.3022, 0.0000, 0.1254
-11.700,-0.2710, 0.14082, 0.13619,-0.0331,1.0000,0.0559,-1.1620, 0.0000, 0.1218
-11.600,-0.2685, 0.13929, 0.13466,-0.0324,1.0000,0.0564,-1.1401, 0.0000, 0.1232
-11.500,-0.2673, 0.13817, 0.13355,-0.0319,1.0000,0.0569,-1.1273, 0.0000, 0.1248
-11.400,-0.2667, 0.13722, 0.13261,-0.0314,1.0000,0.0574,-1.1190, 0.0000, 0.1263
-11.300,-0.2665, 0.13636, 0.13177,-0.0310,1.0000,0.0579,-1.1134, 0.0000, 0.1279
-11.200,-0.2664, 0.13556, 0.13097,-0.0306,1.0000,0.0584,-1.1099, 0.0000, 0.1295
-11.100,-0.2666, 0.13479, 0.13021,-0.0302,1.0000,0.0590,-1.1078, 0.0000, 0.1310
-11.000,-0.2669, 0.13403, 0.12947,-0.0298,1.0000,0.0595,-1.1068, 0.0000, 0.1326
-10.900,-0.2673, 0.13329, 0.12873,-0.0295,1.0000,0.0600,-1.1068, 0.0000, 0.1342
-10.800,-0.2678, 0.13256, 0.12801,-0.0291,1.0000,0.0606,-1.1076, 0.0000, 0.1357
-10.700,-0.2684, 0.13183, 0.12730,-0.0288,1.0000,0.0611,-1.1092, 0.0000, 0.1373
-10.600,-0.2691, 0.13111, 0.12659,-0.0285,1.0000,0.0617,-1.1114, 0.0000, 0.1388
-10.500,-0.2698, 0.13039, 0.12589,-0.0282,1.0000,0.0623,-1.1144, 0.0000, 0.1403
-10.400,-0.2707, 0.12968, 0.12519,-0.0279,1.0000,0.0629,-1.1180, 0.0000, 0.1418
-10.300,-0.2716, 0.12898, 0.12451,-0.0276,1.0000,0.0635,-1.1224, 0.0000, 0.1434
-10.200,-0.2727, 0.12829, 0.12383,-0.0273,1.0000,0.0641,-1.1278, 0.0000, 0.1448
-10.100,-0.2740, 0.12764, 0.12319,-0.0271,1.0000,0.0647,-1.1343, 0.0000, 0.1463
-10.000,-0.2754, 0.12701, 0.12258,-0.0268,1.0000,0.0654,-1.1425, 0.0000, 0.1478
 -9.900,-0.2772, 0.12645, 0.12203,-0.0266,1.0000,0.0660,-1.1529, 0.0000, 0.1492
 -9.800,-0.2793, 0.12597, 0.12157,-0.0265,1.0000,0.0665,-1.1662, 0.0000, 0.1506
 -9.700,-0.2821, 0.12561, 0.12123,-0.0264,1.0000,0.0670,-1.1828, 0.0000, 0.1520
 -9.600,-0.2854, 0.12536, 0.12099,-0.0263,1.0000,0.0674,-1.2023, 0.0000, 0.1535
 -9.500,-0.2892, 0.12519, 0.12084,-0.0262,1.0000,0.0677,-1.2236, 0.0000, 0.1550
 -9.400,-0.2934, 0.12503, 0.12071,-0.0262,1.0000,0.0679,-1.2459, 0.0000, 0.1567
 -9.300,-0.2978, 0.12490, 0.12061,-0.0261,1.0000,0.0680,-1.2684, 0.0000, 0.1584
 -9.200,-0.3023, 0.12477, 0.12049,-0.0260,1.0000,0.0682,-1.2909, 0.0000, 0.1601
 -9.100,-0.3070, 0.12460, 0.12035,-0.0259,1.0000,0.0683,-1.3135, 0.0000, 0.1618
 -9.000,-0.3116, 0.12441, 0.12018,-0.0258,1.0000,0.0684,-1.3359, 0.0000, 0.1635
 -8.900,-0.3161, 0.12418, 0.11997,-0.0257,1.0000,0.0684,-1.3578, 0.0000, 0.1652
 -8.800,-0.3205, 0.12391, 0.11973,-0.0256,1.0000,0.0685,-1.3792, 0.0000, 0.1668
 -8.700,-0.3249, 0.12360, 0.11945,-0.0255,1.0000,0.0686,-1.4000, 0.0000, 0.1684
 -8.600,-0.3293, 0.12327, 0.11913,-0.0253,1.0000,0.0686,-1.4203, 0.0000, 0.1701
 -8.500,-0.3337, 0.12291, 0.11880,-0.0251,1.0000,0.0687,-1.4401, 0.0000, 0.1718
 -8.400,-0.3380, 0.12253, 0.11845,-0.0248,1.0000,0.0687,-1.4591, 0.0000, 0.1736
 -8.300,-0.3819, 0.12641, 0.12172,-0.0278,1.0000,0.0683,-1.6538, 0.0000, 0.1714
 -8.200,-0.3882, 0.12643, 0.12178,-0.0271,1.0000,0.0683,-1.6757, 0.0000, 0.1746
 -8.100,-0.3947, 0.12643, 0.12182,-0.0264,1.0000,0.0684,-1.6970, 0.0000, 0.1779
 -8.000,-0.4013, 0.12642, 0.12184,-0.0256,1.0000,0.0684,-1.7177, 0.0000, 0.1812
 -7.900,-0.4076, 0.12636, 0.12182,-0.0248,1.0000,0.0685,-1.7382, 0.0000, 0.1842
 -7.800,-0.4130, 0.12620, 0.12169,-0.0245,1.0000,0.0685,-1.7599, 0.0000, 0.1860
 -7.700,-0.4168, 0.12587, 0.12140,-0.0247,1.0000,0.0686,-1.7824, 0.0000, 0.1862
 -7.600,-0.4200, 0.12547, 0.12102,-0.0251,1.0000,0.0687,-1.8049, 0.0000, 0.1858
 -7.500,-0.4226, 0.12498, 0.12055,-0.0257,1.0000,0.0687,-1.8278, 0.0000, 0.1849
 -7.400,-0.3829, 0.11461, 0.11008,-0.0215,1.0000,0.0713,-1.5788, 0.0000, 0.1888
 -7.300,-0.3822, 0.11354, 0.10902,-0.0206,1.0000,0.0721,-1.5575, 0.0000, 0.1910
 -7.200,-0.3832, 0.11271, 0.10821,-0.0197,1.0000,0.0729,-1.5452, 0.0000, 0.1935
 -7.100,-0.3851, 0.11202, 0.10753,-0.0189,1.0000,0.0736,-1.5383, 0.0000, 0.1961
 -7.000,-0.3879, 0.11140, 0.10694,-0.0180,1.0000,0.0743,-1.5351, 0.0000, 0.1988
 -6.900,-0.3912, 0.11083, 0.10639,-0.0171,1.0000,0.0750,-1.5347, 0.0000, 0.2016
 -6.800,-0.3949, 0.11030, 0.10589,-0.0162,1.0000,0.0757,-1.5364, 0.0000, 0.2044
 -6.700,-0.3989, 0.10980, 0.10541,-0.0153,1.0000,0.0764,-1.5399, 0.0000, 0.2072
 -6.600,-0.4029, 0.10928, 0.10492,-0.0146,1.0000,0.0771,-1.5446, 0.0000, 0.2096
 -6.500,-0.4061, 0.10870, 0.10436,-0.0141,1.0000,0.0779,-1.5499, 0.0000, 0.2112
 -6.400,-0.4087, 0.10807, 0.10376,-0.0139,1.0000,0.0788,-1.5573, 0.0000, 0.2120
 -6.300,-0.4113, 0.10747, 0.10318,-0.0139,1.0000,0.0798,-1.5682, 0.0000, 0.2122
 -6.200,-0.4139, 0.10695, 0.10268,-0.0144,1.0000,0.0807,-1.5853, 0.0000, 0.2114
 -6.100,-0.4163, 0.10656, 0.10232,-0.0156,1.0000,0.0816,-1.6128, 0.0000, 0.2088
 -6.000,-0.4176, 0.10632, 0.10210,-0.0182,1.0000,0.0823,-1.6550, 0.0000, 0.2028
 -5.900,-0.4161, 0.10607, 0.10187,-0.0225,1.0000,0.0829,-1.7119, 0.0000, 0.1923
 -5.800,-0.4107, 0.10556, 0.10135,-0.0282,1.0000,0.0832,-1.7747, 0.0000, 0.1779
 -5.400,-0.4136, 0.09856, 0.09444,-0.0193,1.0000,0.0856,-1.6478, 0.0000, 0.1999
 -5.300,-0.4128, 0.09743, 0.09329,-0.0179,1.0000,0.0865,-1.6172, 0.0000, 0.2032
 -5.200,-0.4115, 0.09637, 0.09224,-0.0173,1.0000,0.0874,-1.5956, 0.0000, 0.2047
 -5.100,-0.4097, 0.09532, 0.09120,-0.0171,1.0000,0.0885,-1.5795, 0.0000, 0.2049
 -5.000,-0.4076, 0.09427, 0.09015,-0.0174,1.0000,0.0897,-1.5674, 0.0000, 0.2042
 -4.900,-0.4048, 0.09319, 0.08908,-0.0180,1.0000,0.0910,-1.5590, 0.0000, 0.2024
 -4.800,-0.4012, 0.09206, 0.08795,-0.0191,1.0000,0.0926,-1.5563, 0.0000, 0.1993
 -4.700,-0.3478, 0.08928, 0.08501,-0.0445,0.9967,0.0987,-1.7349, 0.0000, 0.1183
 -4.600,-0.3480, 0.08708, 0.08284,-0.0414,0.9953,0.0992,-1.6926, 0.0000, 0.1273
 -4.500,-0.3452, 0.08536, 0.08114,-0.0390,0.9938,0.1000,-1.6485, 0.0000, 0.1332
 -4.400,-0.3405, 0.08394, 0.07973,-0.0377,0.9917,0.1011,-1.6120, 0.0000, 0.1357
 -4.300,-0.3332, 0.08262, 0.07840,-0.0376,0.9895,0.1027,-1.5826, 0.0000, 0.1334
 -4.200,-0.3222, 0.08121, 0.07698,-0.0390,0.9873,0.1050,-1.5618, 0.0000, 0.1249
 -4.100,-0.3044, 0.07950, 0.07522,-0.0435,0.9850,0.1092,-1.5578, 0.0000, 0.1030
 -4.000,-0.2639, 0.07598, 0.07157,-0.0578,0.9827,0.1152,-1.6219, 0.0000, 0.0263
 -3.900,-0.2601, 0.07475, 0.07036,-0.0562,0.9804,0.1163,-1.5850, 0.0000, 0.0290
 -3.800,-0.2543, 0.07362, 0.06923,-0.0557,0.9780,0.1179,-1.5543, 0.0000, 0.0262
 -3.700,-0.2437, 0.07239, 0.06798,-0.0568,0.9757,0.1208,-1.5294, 0.0000, 0.0120
 -3.600,-0.2042, 0.06932, 0.06475,-0.0694,0.9733,0.1307,-1.5681, 0.0000,-0.0958
 -3.500,-0.2011, 0.06840, 0.06385,-0.0671,0.9715,0.1327,-1.5183, 0.0000,-0.0900
 -3.400,-0.1887, 0.06741, 0.06285,-0.0680,0.9697,0.1380,-1.4768, 0.0000,-0.1166
 -3.300,-0.1575, 0.06492, 0.06023,-0.0763,0.9678,0.1474,-1.4790, 0.0000,-0.2422
 -3.200,-0.1528, 0.06398, 0.05931,-0.0754,0.9650,0.1496,-1.4499, 0.0000,-0.2515
 -3.100,-0.1373, 0.06277, 0.05805,-0.0779,0.9625,0.1556,-1.4270, 0.0000,-0.3262
 -3.000,-0.1118, 0.06056, 0.05574,-0.0839,0.9605,0.1633,-1.4187, 0.0000,-0.5111
 -2.900,-0.1006, 0.05953, 0.05471,-0.0843,0.9585,0.1668,-1.3802, 0.0000,-0.6000
 -2.800,-0.0481, 0.05788, 0.05265,-0.0979,0.9566,0.1913,-1.3732, 0.0000,-1.8099
 -2.700,-0.0564, 0.05641, 0.05144,-0.0921,0.9553,0.1825,-1.3178, 0.0000,-1.4030
 -2.600,-0.0278, 0.05467, 0.04957,-0.0977,0.9540,0.1951,-1.2848, 0.0000,-3.3103
 -2.500,-0.0228, 0.05400, 0.04891,-0.0969,0.9508,0.1993,-1.2541, 0.0000,-4.0493
 -2.400,-0.0071, 0.05290, 0.04777,-0.0992,0.9484,0.2121,-1.2191, 0.0000,-13.8955
 -2.300, 0.0107, 0.05186, 0.04664,-0.1017,0.9462,0.2265,-1.1886, 0.0000, 9.8608
 -2.200, 0.0323, 0.05071, 0.04539,-0.1050,0.9444,0.2410,-1.1699, 0.0000, 3.5336
 -2.100, 0.0479, 0.04956, 0.04423,-0.1062,0.9427,0.2450,-1.1462, 0.0000, 2.4908
 -2.000, 0.0726, 0.04824, 0.04280,-0.1101,0.9413,0.2585,-1.1245, 0.0000, 1.7808
 -1.900, 0.1000, 0.04664, 0.04107,-0.1144,0.9403,0.2609,-1.1082, 0.0000, 1.4040
 -1.800, 0.2338, 0.03311, 0.02435,-0.1413,0.9475,0.1123,-1.5660, 0.0000, 0.8588
 -1.700, 0.2509, 0.03256, 0.02374,-0.1427,0.9457,0.1175,-1.5087, 0.0000, 0.8227
 -1.600, 0.2675, 0.03243, 0.02353,-0.1439,0.9438,0.1263,-1.4416, 0.0000, 0.7915
 -1.500, 0.2863, 0.03202, 0.02306,-0.1455,0.9424,0.1339,-1.3766, 0.0000, 0.7616
 -1.400, 0.3058, 0.03173, 0.02263,-0.1471,0.9411,0.1429,-1.3185, 0.0000, 0.7340
 -1.300, 0.3248, 0.03152, 0.02243,-0.1488,0.9399,0.1555,-1.2564, 0.0000, 0.7106
 -1.200, 0.3347, 0.03142, 0.02235,-0.1488,0.9368,0.1657,-1.2145, 0.0000, 0.6971
 -1.100, 0.3451, 0.03131, 0.02217,-0.1489,0.9337,0.1770,-1.1768, 0.0000, 0.6835
 -1.000, 0.3597, 0.03117, 0.02202,-0.1497,0.9313,0.1916,-1.1261, 0.0000, 0.6680
 -0.900, 0.3756, 0.03104, 0.02202,-0.1508,0.9293,0.2112,-1.0630, 0.0000, 0.6532
 -0.800, 0.3931, 0.03094, 0.02196,-0.1522,0.9276,0.2354,-0.9994, 0.0000, 0.6386
 -0.700, 0.4115, 0.03081, 0.02192,-0.1537,0.9262,0.2626,-0.9321, 0.0000, 0.6248
 -0.600, 0.4307, 0.03074, 0.02194,-0.1554,0.9249,0.2971,-0.8607, 0.0000, 0.6118
 -0.500, 0.4356, 0.03081, 0.02205,-0.1545,0.9208,0.3175,-0.8277, 0.0000, 0.6057
 -0.400, 0.4467, 0.03079, 0.02213,-0.1547,0.9177,0.3467,-0.7841, 0.0000, 0.5972
 -0.300, 0.4610, 0.03074, 0.02218,-0.1554,0.9153,0.3831,-0.7328, 0.0000, 0.5878
 -0.200, 0.4771, 0.03065, 0.02221,-0.1565,0.9135,0.4273,-0.6778, 0.0000, 0.5784
 -0.100, 0.4943, 0.03052, 0.02225,-0.1577,0.9119,0.4802,-0.6205, 0.0000, 0.5693
  0.000, 0.5122, 0.03030, 0.02228,-0.1590,0.9107,0.5513,-0.6069, 0.0000, 0.5605
  0.100, 0.5277, 0.02972, 0.02225,-0.1595,0.9099,0.6934,-0.6167, 0.0000, 0.5523
  0.200, 0.5150, 0.02949, 0.02240,-0.1549,0.9031,0.9401,-0.6094, 0.0000, 0.5508
  0.300, 0.5296, 0.02967, 0.02237,-0.1558,0.9002,1.0000,-0.6172, 0.0000, 0.5440
  0.400, 0.5458, 0.02983, 0.02237,-0.1569,0.8981,1.0000,-0.6264, 0.0000, 0.5371
  0.500, 0.5633, 0.02997, 0.02239,-0.1582,0.8963,1.0000,-0.6364, 0.0000, 0.5303
  0.600, 0.5819, 0.03012, 0.02242,-0.1596,0.8950,1.0000,-0.6476, 0.0000, 0.5236
  0.700, 0.5789, 0.03050, 0.02277,-0.1575,0.8888,1.0000,-0.6452, 0.0000, 0.5212
  0.800, 0.5911, 0.03068, 0.02288,-0.1578,0.8858,1.0000,-0.6524, 0.0000, 0.5161
  0.900, 0.6063, 0.03082, 0.02294,-0.1587,0.8835,1.0000,-0.6615, 0.0000, 0.5106
  1.000, 0.6232, 0.03094, 0.02299,-0.1598,0.8818,1.0000,-0.6718, 0.0000, 0.5052
  1.100, 0.6414, 0.03105, 0.02303,-0.1611,0.8803,1.0000,-0.6833, 0.0000, 0.4999
  1.300, 0.6502, 0.03167, 0.02360,-0.1593,0.8711,1.0000,-0.6884, 0.0000, 0.4934
  1.400, 0.6651, 0.03179, 0.02367,-0.1600,0.8687,1.0000,-0.6978, 0.0000, 0.4889
  1.500, 0.6819, 0.03188, 0.02372,-0.1611,0.8670,1.0000,-0.7088, 0.0000, 0.4844
  1.600, 0.6998, 0.03195, 0.02375,-0.1623,0.8656,1.0000,-0.7206, 0.0000, 0.4800
  1.700, 0.6966, 0.03247, 0.02426,-0.1602,0.8592,1.0000,-0.7183, 0.0000, 0.4780
  1.800, 0.7080, 0.03264, 0.02441,-0.1604,0.8560,1.0000,-0.7258, 0.0000, 0.4744
  1.900, 0.7230, 0.03274, 0.02448,-0.1611,0.8538,1.0000,-0.7360, 0.0000, 0.4706
  2.000, 0.7398, 0.03279, 0.02450,-0.1621,0.8520,1.0000,-0.7476, 0.0000, 0.4668
  2.100, 0.7577, 0.03281, 0.02451,-0.1632,0.8506,1.0000,-0.7600, 0.0000, 0.4630
  2.200, 0.7530, 0.03343, 0.02513,-0.1610,0.8438,1.0000,-0.7568, 0.0000, 0.4612
  2.300, 0.7650, 0.03358, 0.02527,-0.1612,0.8407,1.0000,-0.7654, 0.0000, 0.4581
  2.400, 0.7804, 0.03363, 0.02531,-0.1620,0.8386,1.0000,-0.7766, 0.0000, 0.4547
  2.500, 0.7973, 0.03364, 0.02533,-0.1629,0.8369,1.0000,-0.7888, 0.0000, 0.4514
  2.600, 0.8154, 0.03361, 0.02530,-0.1640,0.8356,1.0000,-0.8020, 0.0000, 0.4481
  2.700, 0.8086, 0.03436, 0.02606,-0.1615,0.8281,1.0000,-0.7978, 0.0000, 0.4466
  2.800, 0.8216, 0.03446, 0.02616,-0.1619,0.8253,1.0000,-0.8078, 0.0000, 0.4438
  2.900, 0.8374, 0.03447, 0.02617,-0.1626,0.8232,1.0000,-0.8198, 0.0000, 0.4408
  3.000, 0.8547, 0.03442, 0.02613,-0.1636,0.8217,1.0000,-0.8332, 0.0000, 0.4379
  3.100, 0.8688, 0.03449, 0.02621,-0.1640,0.8194,1.0000,-0.8446, 0.0000, 0.4352
  3.200, 0.8640, 0.03523, 0.02696,-0.1619,0.8121,1.0000,-0.8420, 0.0000, 0.4337
  3.300, 0.8781, 0.03526, 0.02701,-0.1623,0.8096,1.0000,-0.8536, 0.0000, 0.4311
  3.400, 0.8946, 0.03520, 0.02697,-0.1631,0.8077,1.0000,-0.8673, 0.0000, 0.4284
  3.500, 0.9125, 0.03508, 0.02690,-0.1641,0.8063,1.0000,-0.8822, 0.0000, 0.4257
  3.700, 0.9196, 0.03600, 0.02786,-0.1621,0.7959,1.0000,-0.8909, 0.0000, 0.4220
  3.800, 0.9351, 0.03594, 0.02783,-0.1627,0.7938,1.0000,-0.9049, 0.0000, 0.4196
  3.900, 0.9525, 0.03578, 0.02771,-0.1635,0.7922,1.0000,-0.9336, 0.0000, 0.4171
  4.000, 0.9712, 0.03556, 0.02753,-0.1644,0.7909,1.0000,-0.9898, 0.0000, 0.4147
  4.200, 0.9764, 0.03659, 0.02861,-0.1622,0.7798,1.0000,-1.0437, 0.0000, 0.4113
  4.300, 0.9934, 0.03640, 0.02847,-0.1629,0.7779,1.0000,-1.1057, 0.0000, 0.4090
  4.400, 1.0119, 0.03613, 0.02825,-0.1638,0.7766,1.0000,-1.1742, 0.0000, 0.4068
  4.500, 1.0311, 0.03579, 0.02801,-0.1647,0.7754,1.0000,-1.2534, 0.0000, 0.4045
  4.600, 1.0189, 0.03711, 0.02934,-0.1618,0.7657,1.0000,-1.2446, 0.0000, 0.4035
  4.700, 1.0355, 0.03689, 0.02918,-0.1623,0.7637,1.0000,-1.3173, 0.0000, 0.4014
  4.800, 1.0537, 0.03656, 0.02891,-0.1631,0.7621,1.0000,-1.3962, 0.0000, 0.3992
  4.900, 1.0731, 0.03613, 0.02855,-0.1639,0.7609,1.0000,-1.4840, 0.0000, 0.3971
