xflr5 v6.42

 Calculated polar for: NACA 6508

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-15.500,-0.2566, 0.16469, 0.15798,-0.0398,1.0000,0.0800,-0.9249, 0.0000, 0.0872
-15.400,-0.2566, 0.16440, 0.15770,-0.0399,1.0000,0.0807,-0.9300, 0.0000, 0.0869
-15.300,-0.2569, 0.16425, 0.15756,-0.0400,1.0000,0.0813,-0.9370, 0.0000, 0.0868
-15.200,-0.2575, 0.16427, 0.15759,-0.0401,1.0000,0.0818,-0.9460, 0.0000, 0.0867
-15.100,-0.2586, 0.16447, 0.15780,-0.0403,1.0000,0.0822,-0.9571, 0.0000, 0.0869
-15.000,-0.2601, 0.16483, 0.15817,-0.0404,1.0000,0.0825,-0.9697, 0.0000, 0.0872
-14.900,-0.2619, 0.16533, 0.15868,-0.0406,1.0000,0.0827,-0.9838, 0.0000, 0.0877
-14.800,-0.2642, 0.16595, 0.15930,-0.0407,1.0000,0.0829,-0.9989, 0.0000, 0.0885
-14.700,-0.2667, 0.16668, 0.16004,-0.0409,1.0000,0.0831,-1.0149, 0.0000, 0.0894
-14.600,-0.2695, 0.16749, 0.16086,-0.0411,1.0000,0.0832,-1.0318, 0.0000, 0.0905
-14.500,-0.2727, 0.16837, 0.16175,-0.0412,1.0000,0.0833,-1.0493, 0.0000, 0.0917
-14.400,-0.2760, 0.16927, 0.16265,-0.0414,1.0000,0.0833,-1.0673, 0.0000, 0.0931
-14.300,-0.2795, 0.17013, 0.16353,-0.0415,1.0000,0.0834,-1.0853, 0.0000, 0.0946
-14.200,-0.2567, 0.15876, 0.15220,-0.0398,1.0000,0.0851,-0.9695, 0.0000, 0.0875
-14.100,-0.2539, 0.15710, 0.15055,-0.0394,1.0000,0.0860,-0.9506, 0.0000, 0.0874
-14.000,-0.2522, 0.15600, 0.14946,-0.0391,1.0000,0.0869,-0.9435, 0.0000, 0.0876
-13.900,-0.2512, 0.15513, 0.14860,-0.0389,1.0000,0.0877,-0.9413, 0.0000, 0.0879
-13.800,-0.2505, 0.15440, 0.14787,-0.0387,1.0000,0.0886,-0.9413, 0.0000, 0.0883
-13.700,-0.2500, 0.15375, 0.14723,-0.0385,1.0000,0.0895,-0.9428, 0.0000, 0.0888
-13.600,-0.2498, 0.15316, 0.14665,-0.0383,1.0000,0.0904,-0.9457, 0.0000, 0.0893
-13.500,-0.2497, 0.15262, 0.14611,-0.0382,1.0000,0.0913,-0.9496, 0.0000, 0.0899
-13.400,-0.2498, 0.15212, 0.14563,-0.0380,1.0000,0.0922,-0.9547, 0.0000, 0.0905
-13.300,-0.2501, 0.15168, 0.14519,-0.0379,1.0000,0.0931,-0.9608, 0.0000, 0.0912
-13.200,-0.2507, 0.15130, 0.14482,-0.0378,1.0000,0.0940,-0.9682, 0.0000, 0.0919
-13.100,-0.2515, 0.15100, 0.14453,-0.0377,1.0000,0.0949,-0.9772, 0.0000, 0.0928
-13.000,-0.2527, 0.15082, 0.14436,-0.0377,1.0000,0.0957,-0.9882, 0.0000, 0.0937
-12.900,-0.2543, 0.15078, 0.14434,-0.0377,1.0000,0.0965,-1.0017, 0.0000, 0.0947
-12.800,-0.2565, 0.15090, 0.14446,-0.0377,1.0000,0.0970,-1.0175, 0.0000, 0.0960
-12.700,-0.2592, 0.15115, 0.14473,-0.0378,1.0000,0.0974,-1.0352, 0.0000, 0.0975
-12.600,-0.2624, 0.15152, 0.14512,-0.0378,1.0000,0.0978,-1.0542, 0.0000, 0.0993
-12.500,-0.2659, 0.15194, 0.14556,-0.0378,1.0000,0.0980,-1.0740, 0.0000, 0.1013
-12.400,-0.2697, 0.15240, 0.14604,-0.0378,1.0000,0.0982,-1.0943, 0.0000, 0.1034
-12.300,-0.2737, 0.15288, 0.14655,-0.0378,1.0000,0.0983,-1.1149, 0.0000, 0.1057
-12.200,-0.2779, 0.15335, 0.14705,-0.0378,1.0000,0.0984,-1.1357, 0.0000, 0.1082
-12.100,-0.2585, 0.14556, 0.13922,-0.0363,1.0000,0.1005,-1.0520, 0.0000, 0.1030
-12.000,-0.2554, 0.14392, 0.13759,-0.0357,1.0000,0.1019,-1.0344, 0.0000, 0.1037
-11.900,-0.2542, 0.14289, 0.13656,-0.0353,1.0000,0.1033,-1.0270, 0.0000, 0.1048
-11.800,-0.2537, 0.14205, 0.13574,-0.0349,1.0000,0.1046,-1.0241, 0.0000, 0.1060
-11.700,-0.2537, 0.14132, 0.13503,-0.0346,1.0000,0.1059,-1.0240, 0.0000, 0.1074
-11.600,-0.2540, 0.14067, 0.13439,-0.0343,1.0000,0.1072,-1.0262, 0.0000, 0.1087
-11.500,-0.2548, 0.14010, 0.13383,-0.0340,1.0000,0.1085,-1.0305, 0.0000, 0.1102
-11.400,-0.2560, 0.13963, 0.13338,-0.0338,1.0000,0.1097,-1.0372, 0.0000, 0.1117
-11.300,-0.2578, 0.13930, 0.13307,-0.0337,1.0000,0.1108,-1.0469, 0.0000, 0.1134
-11.200,-0.2603, 0.13917, 0.13296,-0.0336,1.0000,0.1117,-1.0601, 0.0000, 0.1152
-11.100,-0.2637, 0.13923, 0.13305,-0.0335,1.0000,0.1124,-1.0764, 0.0000, 0.1173
-11.000,-0.2676, 0.13942, 0.13326,-0.0334,1.0000,0.1128,-1.0948, 0.0000, 0.1197
-10.900,-0.2720, 0.13967, 0.13354,-0.0333,1.0000,0.1131,-1.1143, 0.0000, 0.1222
-10.800,-0.2767, 0.13997, 0.13387,-0.0332,1.0000,0.1133,-1.1344, 0.0000, 0.1249
-10.700,-0.2818, 0.14029, 0.13422,-0.0331,1.0000,0.1135,-1.1549, 0.0000, 0.1276
-10.600,-0.2870, 0.14061, 0.13458,-0.0330,1.0000,0.1136,-1.1758, 0.0000, 0.1304
-10.500,-0.2684, 0.13425, 0.12820,-0.0317,1.0000,0.1155,-1.1011, 0.0000, 0.1266
-10.400,-0.2649, 0.13253, 0.12648,-0.0310,1.0000,0.1169,-1.0814, 0.0000, 0.1276
-10.300,-0.2636, 0.13140, 0.12536,-0.0305,1.0000,0.1182,-1.0721, 0.0000, 0.1290
-10.200,-0.2633, 0.13048, 0.12445,-0.0300,1.0000,0.1195,-1.0675, 0.0000, 0.1307
-10.100,-0.2635, 0.12967, 0.12366,-0.0296,1.0000,0.1207,-1.0658, 0.0000, 0.1324
-10.000,-0.2642, 0.12894, 0.12295,-0.0292,1.0000,0.1220,-1.0664, 0.0000, 0.1342
 -9.900,-0.2653, 0.12827, 0.12230,-0.0289,1.0000,0.1233,-1.0691, 0.0000, 0.1361
 -9.800,-0.2669, 0.12770, 0.12175,-0.0286,1.0000,0.1246,-1.0744, 0.0000, 0.1380
 -9.700,-0.2692, 0.12726, 0.12133,-0.0283,1.0000,0.1258,-1.0827, 0.0000, 0.1400
 -9.600,-0.2725, 0.12699, 0.12108,-0.0281,1.0000,0.1268,-1.0948, 0.0000, 0.1422
 -9.500,-0.2766, 0.12691, 0.12103,-0.0280,1.0000,0.1276,-1.1105, 0.0000, 0.1445
 -9.400,-0.2815, 0.12696, 0.12111,-0.0278,1.0000,0.1281,-1.1288, 0.0000, 0.1471
 -9.300,-0.2869, 0.12708, 0.12127,-0.0276,1.0000,0.1284,-1.1483, 0.0000, 0.1497
 -9.200,-0.2927, 0.12724, 0.12147,-0.0274,1.0000,0.1287,-1.1687, 0.0000, 0.1524
 -9.100,-0.2988, 0.12742, 0.12168,-0.0272,1.0000,0.1289,-1.1896, 0.0000, 0.1552
 -9.000,-0.3051, 0.12760, 0.12190,-0.0270,1.0000,0.1290,-1.2108, 0.0000, 0.1580
 -8.900,-0.2832, 0.12150, 0.11577,-0.0257,1.0000,0.1314,-1.1249, 0.0000, 0.1552
 -8.800,-0.2802, 0.12001, 0.11428,-0.0250,1.0000,0.1330,-1.1064, 0.0000, 0.1568
 -8.700,-0.2795, 0.11898, 0.11326,-0.0244,1.0000,0.1346,-1.0979, 0.0000, 0.1586
 -8.600,-0.2800, 0.11813, 0.11243,-0.0239,1.0000,0.1361,-1.0944, 0.0000, 0.1606
 -8.500,-0.2812, 0.11738, 0.11169,-0.0235,1.0000,0.1376,-1.0944, 0.0000, 0.1626
 -8.400,-0.2831, 0.11672, 0.11106,-0.0231,1.0000,0.1391,-1.0975, 0.0000, 0.1646
 -8.300,-0.2858, 0.11620, 0.11056,-0.0228,1.0000,0.1406,-1.1043, 0.0000, 0.1668
 -8.200,-0.2897, 0.11585, 0.11024,-0.0225,1.0000,0.1418,-1.1156, 0.0000, 0.1690
 -8.100,-0.2949, 0.11570, 0.11013,-0.0222,1.0000,0.1428,-1.1314, 0.0000, 0.1714
 -8.000,-0.3010, 0.11570, 0.11016,-0.0219,1.0000,0.1434,-1.1503, 0.0000, 0.1740
 -7.900,-0.3077, 0.11577, 0.11027,-0.0216,1.0000,0.1438,-1.1708, 0.0000, 0.1766
 -7.800,-0.3148, 0.11587, 0.11042,-0.0213,1.0000,0.1441,-1.1920, 0.0000, 0.1794
 -7.700,-0.3222, 0.11599, 0.11057,-0.0209,1.0000,0.1443,-1.2135, 0.0000, 0.1823
 -7.600,-0.3300, 0.11611, 0.11073,-0.0205,1.0000,0.1445,-1.2350, 0.0000, 0.1853
 -7.500,-0.3027, 0.10999, 0.10453,-0.0194,1.0000,0.1480,-1.1334, 0.0000, 0.1829
 -7.400,-0.3013, 0.10882, 0.10336,-0.0188,1.0000,0.1499,-1.1201, 0.0000, 0.1848
 -7.300,-0.3020, 0.10794, 0.10250,-0.0182,1.0000,0.1516,-1.1151, 0.0000, 0.1869
 -7.200,-0.3038, 0.10720, 0.10178,-0.0177,1.0000,0.1533,-1.1150, 0.0000, 0.1890
 -7.100,-0.3068, 0.10658, 0.10119,-0.0172,1.0000,0.1549,-1.1192, 0.0000, 0.1913
 -7.000,-0.3110, 0.10612, 0.10076,-0.0167,1.0000,0.1564,-1.1281, 0.0000, 0.1936
 -6.900,-0.3168, 0.10586, 0.10053,-0.0163,1.0000,0.1576,-1.1420, 0.0000, 0.1961
 -6.800,-0.3238, 0.10575, 0.10046,-0.0158,1.0000,0.1585,-1.1597, 0.0000, 0.1989
 -6.700,-0.3317, 0.10574, 0.10048,-0.0152,1.0000,0.1590,-1.1795, 0.0000, 0.2019
 -6.600,-0.3401, 0.10576, 0.10055,-0.0146,1.0000,0.1594,-1.1998, 0.0000, 0.2051
 -6.500,-0.3490, 0.10579, 0.10062,-0.0138,1.0000,0.1596,-1.2205, 0.0000, 0.2084
 -6.400,-0.3579, 0.10583, 0.10070,-0.0132,1.0000,0.1598,-1.2418, 0.0000, 0.2113
 -6.300,-0.3658, 0.10585, 0.10077,-0.0132,1.0000,0.1600,-1.2662, 0.0000, 0.2121
 -6.200,-0.3304, 0.09954, 0.09438,-0.0120,1.0000,0.1670,-1.1494, 0.0000, 0.2116
 -6.100,-0.3334, 0.09886, 0.09372,-0.0113,1.0000,0.1691,-1.1537, 0.0000, 0.2141
 -6.000,-0.3383, 0.09836, 0.09325,-0.0105,1.0000,0.1708,-1.1629, 0.0000, 0.2168
 -5.900,-0.3448, 0.09801, 0.09293,-0.0098,1.0000,0.1722,-1.1756, 0.0000, 0.2197
 -5.800,-0.3523, 0.09777, 0.09272,-0.0091,1.0000,0.1732,-1.1911, 0.0000, 0.2225
 -5.700,-0.3597, 0.09759, 0.09259,-0.0089,1.0000,0.1742,-1.2107, 0.0000, 0.2234
 -5.600,-0.3667, 0.09750, 0.09253,-0.0095,1.0000,0.1749,-1.2346, 0.0000, 0.2225
 -5.500,-0.3732, 0.09746, 0.09251,-0.0107,1.0000,0.1754,-1.2624, 0.0000, 0.2197
 -5.300,-0.4025, 0.10288, 0.09727,-0.0203,1.0000,0.1752,-1.4929, 0.0000, 0.1963
 -5.100,-0.4008, 0.09925, 0.09369,-0.0166,1.0000,0.1785,-1.4671, 0.0000, 0.2053
 -5.000,-0.3992, 0.09794, 0.09238,-0.0148,1.0000,0.1816,-1.4496, 0.0000, 0.2097
 -4.900,-0.3975, 0.09700, 0.09146,-0.0148,1.0000,0.1854,-1.4471, 0.0000, 0.2095
 -4.800,-0.3910, 0.09726, 0.09171,-0.0224,1.0000,0.1910,-1.4942, 0.0000, 0.1896
 -4.700,-0.3899, 0.09549, 0.08997,-0.0216,1.0000,0.1925,-1.4901, 0.0000, 0.1914
 -4.600,-0.3903, 0.09378, 0.08828,-0.0182,1.0000,0.1945,-1.4657, 0.0000, 0.2003
 -4.500,-0.3887, 0.09256, 0.08708,-0.0167,1.0000,0.1977,-1.4513, 0.0000, 0.2040
 -4.400,-0.3852, 0.09163, 0.08614,-0.0175,1.0000,0.2025,-1.4506, 0.0000, 0.2014
 -4.300,-0.3747, 0.09086, 0.08536,-0.0244,1.0000,0.2080,-1.4837, 0.0000, 0.1817
 -4.200,-0.3755, 0.08922, 0.08375,-0.0214,1.0000,0.2097,-1.4642, 0.0000, 0.1900
 -4.100,-0.3741, 0.08795, 0.08249,-0.0197,1.0000,0.2124,-1.4494, 0.0000, 0.1943
 -4.000,-0.3700, 0.08690, 0.08144,-0.0199,1.0000,0.2170,-1.4429, 0.0000, 0.1930
 -3.900,-0.3571, 0.08582, 0.08033,-0.0262,1.0000,0.2241,-1.4640, 0.0000, 0.1734
 -3.800,-0.3572, 0.08437, 0.07890,-0.0237,1.0000,0.2261,-1.4469, 0.0000, 0.1804
 -3.700,-0.3548, 0.08320, 0.07774,-0.0225,1.0000,0.2296,-1.4333, 0.0000, 0.1834
 -3.600,-0.3384, 0.08218, 0.07666,-0.0293,1.0000,0.2396,-1.4476, 0.0000, 0.1601
 -3.500,-0.3388, 0.08071, 0.07523,-0.0268,1.0000,0.2415,-1.4309, 0.0000, 0.1677
 -3.400,-0.3363, 0.07955, 0.07408,-0.0255,1.0000,0.2452,-1.4160, 0.0000, 0.1711
 -3.300,-0.3209, 0.07838, 0.07286,-0.0308,1.0000,0.2557,-1.4201, 0.0000, 0.1507
 -3.200,-0.3204, 0.07706, 0.07157,-0.0286,1.0000,0.2584,-1.4034, 0.0000, 0.1575
 -3.100,-0.3040, 0.07605, 0.07047,-0.0337,1.0000,0.2709,-1.4012, 0.0000, 0.1358
 -3.000,-0.3041, 0.07465, 0.06910,-0.0312,1.0000,0.2731,-1.3846, 0.0000, 0.1439
 -2.900,-0.3002, 0.07357, 0.06803,-0.0303,1.0000,0.2787,-1.3688, 0.0000, 0.1455
 -2.800,-0.2895, 0.07231, 0.06675,-0.0326,1.0000,0.2891,-1.3592, 0.0000, 0.1337
 -2.700,-0.2780, 0.07129, 0.06570,-0.0350,1.0000,0.3029,-1.3458, 0.0000, 0.1206
 -2.600,-0.2782, 0.07015, 0.06459,-0.0324,1.0000,0.3077,-1.3271, 0.0000, 0.1300
 -2.500,-0.2696, 0.06906, 0.06349,-0.0335,1.0000,0.3209,-1.3116, 0.0000, 0.1222
 -2.300,-0.2526, 0.06704, 0.06145,-0.0352,1.0000,0.3500,-1.2769, 0.0000, 0.1069
 -2.200,-0.2504, 0.06598, 0.06041,-0.0334,1.0000,0.3574,-1.2590, 0.0000, 0.1129
 -1.900,-0.0459, 0.05177, 0.04453,-0.0896,1.0000,0.1910,-1.4465, 0.0000,-1.7210
 -1.800,-0.0348, 0.05054, 0.04330,-0.0903,1.0000,0.1890,-1.4318, 0.0000,-2.3678
 -1.700,-0.0166, 0.04897, 0.04161,-0.0928,1.0000,0.1843,-1.4310, 0.0000,-5.4038
 -1.600,-0.0599, 0.05286, 0.04615,-0.0793,1.0000,0.2600,-1.2770, 0.0000,-1.0882
 -1.500,-0.0622, 0.05303, 0.04643,-0.0764,1.0000,0.2906,-1.2347, 0.0000,-0.9914
 -1.400,-0.0645, 0.05304, 0.04654,-0.0733,1.0000,0.3215,-1.1982, 0.0000,-0.9004
 -1.300,-0.0675, 0.05293, 0.04654,-0.0699,1.0000,0.3530,-1.1660, 0.0000,-0.7974
 -1.200,-0.0724, 0.05293, 0.04665,-0.0658,1.0000,0.3913,-1.1354, 0.0000,-0.6694
 -1.100, 0.1216, 0.04058, 0.03118,-0.1120,1.0000,0.1774,-1.4323, 0.0000, 1.1771
 -1.000, 0.1344, 0.04011, 0.03067,-0.1128,1.0000,0.1811,-1.3965, 0.0000, 1.0936
 -0.900, 0.1501, 0.03960, 0.02995,-0.1140,1.0000,0.1858,-1.3674, 0.0000, 1.0132
 -0.800, 0.1662, 0.03917, 0.02928,-0.1153,1.0000,0.1937,-1.3344, 0.0000, 0.9472
 -0.700, 0.1775, 0.03907, 0.02914,-0.1157,1.0000,0.2043,-1.2888, 0.0000, 0.9050
 -0.600, 0.1900, 0.03886, 0.02889,-0.1164,1.0000,0.2138,-1.2475, 0.0000, 0.8651
 -0.500, 0.2058, 0.03856, 0.02833,-0.1175,1.0000,0.2237,-1.2252, 0.0000, 0.8231
 -0.400, 0.2180, 0.03843, 0.02817,-0.1181,1.0000,0.2350,-1.1891, 0.0000, 0.7933
 -0.300, 0.2301, 0.03842, 0.02812,-0.1186,1.0000,0.2518,-1.1505, 0.0000, 0.7671
 -0.200, 0.2430, 0.03839, 0.02801,-0.1193,1.0000,0.2695,-1.1130, 0.0000, 0.7422
 -0.100, 0.2559, 0.03831, 0.02788,-0.1198,1.0000,0.2864,-1.0748, 0.0000, 0.7195
  0.000, 0.2671, 0.03833, 0.02795,-0.1201,1.0000,0.3073,-1.0317, 0.0000, 0.7007
  0.100, 0.2790, 0.03839, 0.02799,-0.1206,1.0000,0.3341,-0.9890, 0.0000, 0.6829
  0.200, 0.2914, 0.03841, 0.02800,-0.1210,1.0000,0.3624,-0.9457, 0.0000, 0.6659
  0.300, 0.3035, 0.03844, 0.02810,-0.1215,1.0000,0.3960,-0.8995, 0.0000, 0.6505
  0.400, 0.3160, 0.03844, 0.02822,-0.1219,1.0000,0.4356,-0.8519, 0.0000, 0.6359
  0.500, 0.3297, 0.03841, 0.02833,-0.1226,1.0000,0.4863,-0.8105, 0.0000, 0.6217
  0.600, 0.3453, 0.03822, 0.02843,-0.1234,1.0000,0.5565,-0.7644, 0.0000, 0.6071
  0.700, 0.3609, 0.03699, 0.02820,-0.1232,1.0000,0.7727,-0.7191, 0.0000, 0.5910
  0.800, 0.3503, 0.03695, 0.02822,-0.1203,1.0000,1.0000,-0.7259, 0.0000, 0.5928
  0.900, 0.3634, 0.03745, 0.02826,-0.1215,1.0000,1.0000,-0.6903, 0.0000, 0.5836
  1.000, 0.3726, 0.03790, 0.02850,-0.1218,1.0000,1.0000,-0.6538, 0.0000, 0.5759
  1.100, 0.3811, 0.03836, 0.02879,-0.1219,1.0000,1.0000,-0.6173, 0.0000, 0.5689
  1.200, 0.3893, 0.03882, 0.02911,-0.1220,1.0000,1.0000,-0.5808, 0.0000, 0.5622
  1.300, 0.3973, 0.03929, 0.02946,-0.1221,1.0000,1.0000,-0.5456, 0.0000, 0.5559
  1.400, 0.4052, 0.03977, 0.02983,-0.1221,1.0000,1.0000,-0.5280, 0.0000, 0.5499
  1.500, 0.4129, 0.04025, 0.03022,-0.1222,1.0000,1.0000,-0.5316, 0.0000, 0.5442
  1.600, 0.4205, 0.04074, 0.03062,-0.1222,1.0000,1.0000,-0.5351, 0.0000, 0.5388
  1.700, 0.4281, 0.04124, 0.03105,-0.1222,1.0000,1.0000,-0.5386, 0.0000, 0.5336
  1.800, 0.4355, 0.04174, 0.03148,-0.1222,1.0000,1.0000,-0.5420, 0.0000, 0.5287
  1.900, 0.4429, 0.04226, 0.03192,-0.1223,1.0000,1.0000,-0.5457, 0.0000, 0.5239
  2.000, 0.4567, 0.04290, 0.03248,-0.1235,0.9965,1.0000,-0.5529, 0.0000, 0.5182
  2.100, 0.4756, 0.04363, 0.03313,-0.1257,0.9901,1.0000,-0.5633, 0.0000, 0.5119
  2.200, 0.4944, 0.04438, 0.03379,-0.1278,0.9848,1.0000,-0.5740, 0.0000, 0.5059
  2.300, 0.5108, 0.04508, 0.03442,-0.1294,0.9794,1.0000,-0.5835, 0.0000, 0.5007
  2.400, 0.5210, 0.04561, 0.03492,-0.1300,0.9750,1.0000,-0.5890, 0.0000, 0.4967
  2.500, 0.5430, 0.04641, 0.03565,-0.1325,0.9697,1.0000,-0.6024, 0.0000, 0.4911
  2.600, 0.5517, 0.04693, 0.03614,-0.1328,0.9647,1.0000,-0.6070, 0.0000, 0.4876
  2.700, 0.5616, 0.04746, 0.03665,-0.1332,0.9603,1.0000,-0.6129, 0.0000, 0.4841
  2.800, 0.5816, 0.04820, 0.03734,-0.1354,0.9555,1.0000,-0.6256, 0.0000, 0.4795
  2.900, 0.5904, 0.04874, 0.03786,-0.1356,0.9506,1.0000,-0.6308, 0.0000, 0.4763
  3.000, 0.5987, 0.04924, 0.03835,-0.1358,0.9461,1.0000,-0.6356, 0.0000, 0.4733
  3.100, 0.6175, 0.04993, 0.03900,-0.1376,0.9412,1.0000,-0.6481, 0.0000, 0.4693
  3.200, 0.6273, 0.05049, 0.03956,-0.1380,0.9363,1.0000,-0.6544, 0.0000, 0.4663
  3.300, 0.6337, 0.05099, 0.04006,-0.1378,0.9319,1.0000,-0.6584, 0.0000, 0.4637
  3.400, 0.6498, 0.05161, 0.04067,-0.1392,0.9272,1.0000,-0.6694, 0.0000, 0.4603
